Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7
http://purl.obolibrary.org/obo/HP_0001197,Abnormality of prenatal development or birth,0,http://purl.obolibrary.org/obo/HP_0001197,,,,,,
http://purl.obolibrary.org/obo/HP_0001194,Abnormalities of placenta or umbilical cord,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001194,,,,,
http://purl.obolibrary.org/obo/HP_0001560,Abnormality of the amniotic fluid,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001560,,,,,
http://purl.obolibrary.org/obo/HP_0001622,Premature birth,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001622,,,,,
http://purl.obolibrary.org/obo/HP_0001787,Abnormal delivery,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001787,,,,,
http://purl.obolibrary.org/obo/HP_0030917,Low APGAR score,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0030917,,,,,
http://purl.obolibrary.org/obo/HP_0031169,Postterm pregnancy,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0031169,,,,,
http://purl.obolibrary.org/obo/HP_0033334,Abnormal embryonic development,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0033334,,,,,
http://purl.obolibrary.org/obo/HP_0034057,Fetal anomaly,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0034057,,,,,
http://purl.obolibrary.org/obo/HP_6000224,Delayed passage of meconium,1,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_6000224,,,,,
http://purl.obolibrary.org/obo/HP_0010881,Abnormality of the umbilical cord,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001194,http://purl.obolibrary.org/obo/HP_0010881,,,,
http://purl.obolibrary.org/obo/HP_0011409,Abnormal placental membrane morphology,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001194,http://purl.obolibrary.org/obo/HP_0011409,,,,
http://purl.obolibrary.org/obo/HP_0032192,Hydatidiform mole,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001194,http://purl.obolibrary.org/obo/HP_0032192,,,,
http://purl.obolibrary.org/obo/HP_0100767,Abnormal placenta morphology,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001194,http://purl.obolibrary.org/obo/HP_0100767,,,,
http://purl.obolibrary.org/obo/HP_0001561,Polyhydramnios,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001560,http://purl.obolibrary.org/obo/HP_0001561,,,,
http://purl.obolibrary.org/obo/HP_0001562,Oligohydramnios,2,http://purl.obolibrary.org/obo/HP_0001197,http://purl.obolibrary.org/obo/HP_0001560,http://purl.obolibrary.org/obo/HP_0001562,,,,
