Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5
http://purl.obolibrary.org/obo/HP_0000769,Abnormality of the breast,0,http://purl.obolibrary.org/obo/HP_0000769,,,,
http://purl.obolibrary.org/obo/HP_0031093,Abnormal breast morphology,1,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,,,
http://purl.obolibrary.org/obo/HP_0031094,Abnormal breast physiology,1,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031094,,,
http://purl.obolibrary.org/obo/HP_0000771,Gynecomastia,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0000771,,
http://purl.obolibrary.org/obo/HP_0004404,Abnormal nipple morphology,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,,
http://purl.obolibrary.org/obo/HP_0010311,Aplasia/Hypoplasia of the breasts,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010311,,
http://purl.obolibrary.org/obo/HP_0010312,Asymmetry of the breasts,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010312,,
http://purl.obolibrary.org/obo/HP_0010313,Breast hypertrophy,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010313,,
http://purl.obolibrary.org/obo/HP_0020224,Mammary duct ectasia,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0020224,,
http://purl.obolibrary.org/obo/HP_0020225,Breast abscess,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0020225,,
http://purl.obolibrary.org/obo/HP_0032314,Abnormal areolar morphology,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0032314,,
http://purl.obolibrary.org/obo/HP_0032408,Breast mass,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0032408,,
http://purl.obolibrary.org/obo/HP_0040403,Breast microcalcification,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0040403,,
http://purl.obolibrary.org/obo/HP_0040404,Architectural distortion of breast,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0040404,,
http://purl.obolibrary.org/obo/HP_0040405,Asymmetric thickening of the nipple-areolar complex,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0040405,,
http://purl.obolibrary.org/obo/HP_0040407,Mastitis,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0040407,,
http://purl.obolibrary.org/obo/HP_0040415,Diffuse breast nodularity,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0040415,,
http://purl.obolibrary.org/obo/HP_0100013,Neoplasm of the breast,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,,
http://purl.obolibrary.org/obo/HP_6000896,Fibrocystic breast lesion,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_6000896,,
http://purl.obolibrary.org/obo/HP_6001046,Breast cyst,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_6001046,,
http://purl.obolibrary.org/obo/HP_0031109,Agalactia,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/HP_0031109,,
http://purl.obolibrary.org/obo/HP_0100829,Galactorrhea,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/HP_0100829,,
http://purl.obolibrary.org/obo/HP_0430075,Mammary blocked duct,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/HP_0430075,,
http://purl.obolibrary.org/obo/HP_6000062,Abnormal nipple discharge,2,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/HP_6000062,,
http://purl.obolibrary.org/obo/HP_0002558,Supernumerary nipple,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0002558,
http://purl.obolibrary.org/obo/HP_0002562,Low-set nipples,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0002562,
http://purl.obolibrary.org/obo/HP_0003186,Inverted nipples,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0003186,
http://purl.obolibrary.org/obo/HP_0004405,Prominent nipples,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0004405,
http://purl.obolibrary.org/obo/HP_0006709,Aplasia/Hypoplasia of the nipples,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0006709,
http://purl.obolibrary.org/obo/HP_0031509,Dry nipple,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0031509,
http://purl.obolibrary.org/obo/HP_0040157,Abnormal intermamillary distance,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0040157,
http://purl.obolibrary.org/obo/HP_6000229,High-set nipples,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_6000229,
http://purl.obolibrary.org/obo/HP_6000624,Nipple epidermal Paget cells,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_6000624,
http://purl.obolibrary.org/obo/HP_6000629,Nipple thickening,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_6000629,
http://purl.obolibrary.org/obo/HP_0003187,Breast hypoplasia,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010311,http://purl.obolibrary.org/obo/HP_0003187,
http://purl.obolibrary.org/obo/HP_0100783,Breast aplasia,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010311,http://purl.obolibrary.org/obo/HP_0100783,
http://purl.obolibrary.org/obo/HP_0032315,Areolar fullness,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0032314,http://purl.obolibrary.org/obo/HP_0032315,
http://purl.obolibrary.org/obo/HP_0100853,Hypoplastic areola,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0032314,http://purl.obolibrary.org/obo/HP_0100853,
http://purl.obolibrary.org/obo/HP_6000630,Hypoechoic breast mass,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0032408,http://purl.obolibrary.org/obo/HP_6000630,
http://purl.obolibrary.org/obo/HP_0003002,Breast carcinoma,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_0003002,
http://purl.obolibrary.org/obo/HP_0010619,Fibroadenoma of the breast,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_0010619,
http://purl.obolibrary.org/obo/HP_0030075,Ductal carcinoma in situ,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_0030075,
http://purl.obolibrary.org/obo/HP_0030076,Lobular carcinoma in situ,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_0030076,
http://purl.obolibrary.org/obo/HP_6000102,Breast intraductal papilloma,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_6000102,
http://purl.obolibrary.org/obo/HP_6000671,Breast myxoma,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_6000671,
http://purl.obolibrary.org/obo/HP_6000894,Breast adenoma,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_6000894,
http://purl.obolibrary.org/obo/HP_6000895,Breast apocrine adenoma,3,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_6000895,
http://purl.obolibrary.org/obo/HP_0002557,Hypoplastic nipples,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0006709,http://purl.obolibrary.org/obo/HP_0002557
http://purl.obolibrary.org/obo/HP_0002561,Absent nipple,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0006709,http://purl.obolibrary.org/obo/HP_0002561
http://purl.obolibrary.org/obo/HP_0006610,Wide intermamillary distance,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0040157,http://purl.obolibrary.org/obo/HP_0006610
http://purl.obolibrary.org/obo/HP_0040158,Short intermamillary distance,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0004404,http://purl.obolibrary.org/obo/HP_0040157,http://purl.obolibrary.org/obo/HP_0040158
http://purl.obolibrary.org/obo/HP_0012813,Unilateral breast hypoplasia,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010311,http://purl.obolibrary.org/obo/HP_0003187,http://purl.obolibrary.org/obo/HP_0012813
http://purl.obolibrary.org/obo/HP_0012814,Bilateral breast hypoplasia,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0010311,http://purl.obolibrary.org/obo/HP_0003187,http://purl.obolibrary.org/obo/HP_0012814
http://purl.obolibrary.org/obo/HP_0006625,Multifocal breast carcinoma,4,http://purl.obolibrary.org/obo/HP_0000769,http://purl.obolibrary.org/obo/HP_0031093,http://purl.obolibrary.org/obo/HP_0100013,http://purl.obolibrary.org/obo/HP_0003002,http://purl.obolibrary.org/obo/HP_0006625
