Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11,Path Node 12
http://purl.obolibrary.org/obo/HP_0000119,Abnormality of the genitourinary system,0,http://purl.obolibrary.org/obo/HP_0000119,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000078,Abnormality of the genital system,1,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000079,Abnormality of the urinary system,1,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000079,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0007379,Neoplasm of the genitourinary tract,1,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0007379,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012620,Cloacal abnormality,1,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0012620,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100589,Urogenital fistula,1,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000080,Abnormality of reproductive system physiology,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0000080,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010787,Genital neoplasm,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0010787,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012243,Abnormal reproductive system morphology,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0012243,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000809,Urinary tract atresia,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000079,http://purl.obolibrary.org/obo/HP_0000809,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010935,Abnormality of the upper urinary tract,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000079,http://purl.obolibrary.org/obo/HP_0010935,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010936,Abnormality of the lower urinary tract,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000079,http://purl.obolibrary.org/obo/HP_0010936,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0011277,Abnormality of the urinary system physiology,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000079,http://purl.obolibrary.org/obo/HP_0011277,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0006758,Malignant genitourinary tract tumor,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0007379,http://purl.obolibrary.org/obo/HP_0006758,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0006778,Benign genitourinary tract neoplasm,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0007379,http://purl.obolibrary.org/obo/HP_0006778,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010786,Urinary tract neoplasm,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0007379,http://purl.obolibrary.org/obo/HP_0010786,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0032241,Cervical neoplasm,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0007379,http://purl.obolibrary.org/obo/HP_0032241,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010475,Cloacal exstrophy,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0012620,http://purl.obolibrary.org/obo/HP_0010475,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012621,Persistent cloaca,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0012620,http://purl.obolibrary.org/obo/HP_0012621,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004320,Vaginal fistula,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,http://purl.obolibrary.org/obo/HP_0004320,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004321,Bladder fistula,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,http://purl.obolibrary.org/obo/HP_0004321,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0004871,Perineal fistula,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,http://purl.obolibrary.org/obo/HP_0004871,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0010480,Urethral fistula,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,http://purl.obolibrary.org/obo/HP_0010480,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100590,Rectal fistula,2,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0100589,http://purl.obolibrary.org/obo/HP_0100590,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000135,Hypogonadism,3,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0000080,http://purl.obolibrary.org/obo/HP_0000135,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000144,Decreased fertility,3,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0000080,http://purl.obolibrary.org/obo/HP_0000144,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012874,Abnormal male reproductive system physiology,3,http://purl.obolibrary.org/obo/HP_0000119,http://purl.obolibrary.org/obo/HP_0000078,http://purl.obolibrary.org/obo/HP_0000080,http://purl.obolibrary.org/obo/HP_0012874,,,,,,,,
