Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10
http://purl.obolibrary.org/obo/HP_0002086,Abnormality of the respiratory system,0,http://purl.obolibrary.org/obo/HP_0002086,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002795,Abnormal respiratory system physiology,1,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,,,,,,,,
http://purl.obolibrary.org/obo/HP_0100606,Neoplasm of the respiratory system,1,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0100606,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002091,Restrictive ventilatory defect,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0002091,,,,,,,
http://purl.obolibrary.org/obo/HP_0002093,Respiratory insufficiency,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0002093,,,,,,,
http://purl.obolibrary.org/obo/HP_0002099,Asthma,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0002099,,,,,,,
http://purl.obolibrary.org/obo/HP_0002793,Abnormal pattern of respiration,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0002793,,,,,,,
http://purl.obolibrary.org/obo/HP_0002835,Aspiration,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0002835,,,,,,,
http://purl.obolibrary.org/obo/HP_0004347,Weakness of muscles of respiration,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0004347,,,,,,,
http://purl.obolibrary.org/obo/HP_0005957,Breathing dysregulation,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0005957,,,,,,,
http://purl.obolibrary.org/obo/HP_0006520,Progressive pulmonary function impairment,2,http://purl.obolibrary.org/obo/HP_0002086,http://purl.obolibrary.org/obo/HP_0002795,http://purl.obolibrary.org/obo/HP_0006520,,,,,,,
