Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5
http://purl.obolibrary.org/obo/HP_0001608,Abnormality of the voice,0,http://purl.obolibrary.org/obo/HP_0001608,,,,
http://purl.obolibrary.org/obo/HP_0001609,Hoarse voice,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001609,,,
http://purl.obolibrary.org/obo/HP_0001611,Hypernasal speech,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001611,,,
http://purl.obolibrary.org/obo/HP_0001618,Dysphonia,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001618,,,
http://purl.obolibrary.org/obo/HP_0001621,Weak voice,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001621,,,
http://purl.obolibrary.org/obo/HP_0001686,Loss of voice,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001686,,,
http://purl.obolibrary.org/obo/HP_0009088,Speech articulation difficulties,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0009088,,,
http://purl.obolibrary.org/obo/HP_0025429,Abnormal cry,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0025429,,,
http://purl.obolibrary.org/obo/HP_0031801,Vocal cord dysfunction,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0031801,,,
http://purl.obolibrary.org/obo/HP_0100271,Hyponasal speech,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0100271,,,
http://purl.obolibrary.org/obo/HP_6001011,Wet voice,1,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_6001011,,,
http://purl.obolibrary.org/obo/HP_0001615,Hoarse cry,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001609,http://purl.obolibrary.org/obo/HP_0001615,,
http://purl.obolibrary.org/obo/HP_0007024,Pseudobulbar paralysis,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001618,http://purl.obolibrary.org/obo/HP_0007024,,
http://purl.obolibrary.org/obo/HP_0012049,Laryngeal dystonia,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0001618,http://purl.obolibrary.org/obo/HP_0012049,,
http://purl.obolibrary.org/obo/HP_5200237,Pronunciation difficulties,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0009088,http://purl.obolibrary.org/obo/HP_5200237,,
http://purl.obolibrary.org/obo/HP_0001612,Weak cry,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0025429,http://purl.obolibrary.org/obo/HP_0001612,,
http://purl.obolibrary.org/obo/HP_0025430,High-pitched cry,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0025429,http://purl.obolibrary.org/obo/HP_0025430,,
http://purl.obolibrary.org/obo/HP_0025431,Staccato cry,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0025429,http://purl.obolibrary.org/obo/HP_0025431,,
http://purl.obolibrary.org/obo/HP_0200046,Cat cry,2,http://purl.obolibrary.org/obo/HP_0001608,http://purl.obolibrary.org/obo/HP_0025429,http://purl.obolibrary.org/obo/HP_0200046,,
