Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9
http://purl.obolibrary.org/obo/HP_0025031,Abnormality of the digestive system,0,http://purl.obolibrary.org/obo/HP_0025031,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001438,Abnormal abdomen morphology,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,,,,,,,
http://purl.obolibrary.org/obo/HP_0002012,Abnormality of the abdominal organs,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0002012,,,,,,,
http://purl.obolibrary.org/obo/HP_0004298,Abnormality of the abdominal wall,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0004298,,,,,,,
http://purl.obolibrary.org/obo/HP_0004378,Abnormality of the anus,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0004378,,,,,,,
http://purl.obolibrary.org/obo/HP_0011024,Abnormality of the gastrointestinal tract,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0011024,,,,,,,
http://purl.obolibrary.org/obo/HP_0025032,Abnormality of digestive system physiology,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0025032,,,,,,,
http://purl.obolibrary.org/obo/HP_0025033,Abnormal digestive system morphology,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0025033,,,,,,,
http://purl.obolibrary.org/obo/HP_0034930,Digestive system neoplasm,1,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0034930,,,,,,,
http://purl.obolibrary.org/obo/HP_0001541,Ascites,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0001541,,,,,,
http://purl.obolibrary.org/obo/HP_0003271,Visceromegaly,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0003271,,,,,,
http://purl.obolibrary.org/obo/HP_0005217,Abdominal organ duplication,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0005217,,,,,,
http://purl.obolibrary.org/obo/HP_0025181,Abdominal aseptic abscess,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0025181,,,,,,
http://purl.obolibrary.org/obo/HP_0031500,Abdominal mass,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0031500,,,,,,
http://purl.obolibrary.org/obo/HP_0031501,Pelvic mass,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0031501,,,,,,
http://purl.obolibrary.org/obo/HP_0031607,Pelvic organ prolapse,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0031607,,,,,,
http://purl.obolibrary.org/obo/HP_0033134,Abdominal adhesions,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_0033134,,,,,,
http://purl.obolibrary.org/obo/HP_6000363,Flank mass,2,http://purl.obolibrary.org/obo/HP_0025031,http://purl.obolibrary.org/obo/HP_0001438,http://purl.obolibrary.org/obo/HP_6000363,,,,,,
