Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6
http://purl.obolibrary.org/obo/HP_0025142,Constitutional symptom,0,http://purl.obolibrary.org/obo/HP_0025142,,,,,
http://purl.obolibrary.org/obo/HP_0001699,Sudden death,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0001699,,,,
http://purl.obolibrary.org/obo/HP_0003546,Exercise intolerance,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0003546,,,,
http://purl.obolibrary.org/obo/HP_0012378,Fatigue,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0012378,,,,
http://purl.obolibrary.org/obo/HP_0012531,Pain,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0012531,,,,
http://purl.obolibrary.org/obo/HP_0025095,Sneeze,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0025095,,,,
http://purl.obolibrary.org/obo/HP_0025143,Chills,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0025143,,,,
http://purl.obolibrary.org/obo/HP_0025144,Shivering,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0025144,,,,
http://purl.obolibrary.org/obo/HP_0025406,Asthenia,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0025406,,,,
http://purl.obolibrary.org/obo/HP_0030166,Night sweats,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0030166,,,,
http://purl.obolibrary.org/obo/HP_0031058,Impairment of activities of daily living,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0031058,,,,
http://purl.obolibrary.org/obo/HP_0031217,Hot flashes,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0031217,,,,
http://purl.obolibrary.org/obo/HP_0031352,Chest tightness,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0031352,,,,
http://purl.obolibrary.org/obo/HP_0033047,Body ache,1,http://purl.obolibrary.org/obo/HP_0025142,http://purl.obolibrary.org/obo/HP_0033047,,,,
