Term,Label,Shortest Path to Root,Path Node 1,Path Node 2,Path Node 3,Path Node 4,Path Node 5,Path Node 6,Path Node 7,Path Node 8,Path Node 9,Path Node 10,Path Node 11,Path Node 12
http://purl.obolibrary.org/obo/HP_0000707,Abnormality of the nervous system,0,http://purl.obolibrary.org/obo/HP_0000707,,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012638,Abnormal nervous system physiology,1,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0012639,Abnormal nervous system morphology,1,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012639,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0410008,Abnormality of the peripheral nervous system,1,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0410008,,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0000223,Abnormality of taste sensation,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0000223,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001250,Seizure,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0001250,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001283,Bulbar palsy,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0001283,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001298,Encephalopathy,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0001298,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0001311,Abnormal nervous system electrophysiology,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0001311,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002015,Dysphagia,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0002015,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002200,Pseudobulbar signs,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0002200,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002315,Headache,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0002315,,,,,,,,,
http://purl.obolibrary.org/obo/HP_0002483,Bulbar signs,2,http://purl.obolibrary.org/obo/HP_0000707,http://purl.obolibrary.org/obo/HP_0012638,http://purl.obolibrary.org/obo/HP_0002483,,,,,,,,,
